Category,ID,Post_num,Followers,Contents,Tags,Tags_sum,Tags_count,Tags_rate,Likes,Scaled_likes,Contents_len
떡볶이,mae_chelin,989.0,37000.0, 서울 5대  떡볶이 중에 한곳인  현선이네 20년전 포장마차에서 시작해서 많은 지점이 생긴  현선이네떡볶이 소주  맥주 판매하셔서  분식 에 술 마실수 있는 귀한 집       생맥주 있길래 시켰는데 생맥주 맛있어요   현선이네본점 우리집이랑 가까웠으면 맨날 혼술 했을듯   가깝지 않아서 다행이다  끓여먹는  즉석떡볶이 랑 학교앞 떡볶이 느낌의 판떡볶이로 2가지라 취향껏 선택 가능하고 판떡볶이는  밀떡볶이 에 매운맛  중간맛  순한맛으로 선택 가능한데 매운맛은 평소 엽떡 매운맛 먹는 저에게도 지인짜 매워?Dㅋㅋㅋㅋ생맥이 땡기는 맛      떡볶이맛집 이지만  튀김  오뎅  순대  김밥 사이드도 다양해서 너무 좋아요   다 맛있지만 순대는 한번더 추가해서 먹었을 정도   매장 웨이팅도 있고 포장도 많지만 홀 손님 이상으로 배달이 진짜 많던데  현선이네용산본점 가까우신 분들 너무 부럽   서울  서울맛집  용산  용산맛집  용산역  용산역맛집  ?母떱? ?母떱?용산  ?母떱?떡볶이,"#떡볶이, #현선이네, #현선이네떡볶이, #분식, #생맥주, #현선이네본점, #즉석떡볶이, #밀떡볶이, #떡볶이맛집, #튀김, #오뎅, #순대, #김밥, #현선이네용산본점, #서울, #서울맛집, #용산, #용산맛집, #용산역, #용산역맛집, #?母떱? #?母떱?용산, #?母떱?떡볶이",23,6,26.09,629,0.0738783180643645,498
떡볶이,_yamiyomi_,705.0,24000.0,냉장고에 쟁여두고 먹고싶은 빨간 무침군만두  솔직히 여기는 이거 먹으러 가는거죠 이수  애플하우스 즉석떡뽁이 맛집이지만  무침군만두 가 워낙 유명해서무침만두 먹으러 가는곳   이미 너무 유명해서 아실분들은 다 아시겠지만 이집 무침군만두는 진짜 특별해요  달착지근 하면서도 살짝 매콤한게 무슨 마약을 발라논마냥 계속계속 생각나는맛   애플하우스 가면 이건 꼭     필수메뉴 입니다 즉떡은 기본 사리가 들어가는게 별로 없기때문에 사리를 취향껏추가해서 드시는걸 추천합니다  순대볶음은 처음 먹어봤는데 이것도 진짜 맛있었어요 ㅠㅠ향신료 향이 좀 나는 편이라 향신료에 엄청 예민하신 분들은취향을 탈것 같지만 기본값이 정말 맛있다는거 이것도 추천하는 메뉴예요  애플하우스 이전하기 전부터 엄청 좋아하던 곳이였는데 이전하고서 장단점이 다 있는것 같아요 ㅎㅎ그래도 오래오래 맛있었음 좋겠는곳    애플하우스   서울 동작구 동작대로27다길 29 2층  매일 10 30 21 00  이수역 10번출구  무침만두  무침군만두  만두  양념만두  분식  분식맛집  분식집  떡볶이  즉석떡볶이,"#이수, #애플하우스, #무침만두, #무침군만두, #만두, #양념만두, #분식, #분식맛집, #분식집, #떡볶이, #즉석떡볶이",11,2,18.18,1053,0.1236786469344608,545
떡볶이,biteofyommy,239.0,26000.0,대전 디저트 간판이 성심당이라면  떡볶이는 바로그집입니댜      바로그집     저장필수  대전데이트코스 요미쓰 떡볶이 인생 2n년 중 살면서 진 짜 처음 먹어본 양념맛이에요    친구랑 한 입씩 노나먹곤 둘 다 눈이 땡그래져서는 와 이건 진짜 예측할 수 없는 맛이라며   ㅋㅋㅋ      ㅎ 유일무이 온리원 을 외쳤다죠    약간 아이스크림 맛   몽글몽글 달달한 슬라임st 떡볶이류를 좋아하신다면 99 8  성공  같이 갔던 친구는 쏘쏘  였지만 요미는 호 호 짱 호 였움       이 집 뽀임트는 양념통에서 떡볶이랑 호형호제하던찐  둑한   김 말 이   임니댜      부먹도 인정한 맛       바로그집   대전본점   중앙로역 4번출구 348m  매일 11 00   21 00      매달 3번째 화요일 정기휴무         요미_대전   양념도 따로 판매중    ,"#바로그집, #저장필수, #대전데이트코스, #바로그집, #요미_대전",5,0,0.0,1801,0.2115339440920836,439
떡볶이,g.yoooong_place,482.0,27000.0,친구  수진 을 태그하면 꼭 사줘야 하는 곳이 있습니다 경기 성남시 수진역 근처에 위치한 떡볶이 전문점에 방문했습니다 바로 오늘의 맛집  수진분식수진분식은 치즈가 들어가지 않았는데 치즈맛이 나는 떡볶이 맛집으로 알려진 곳인데요 치즈가 들어가지 않았는데 치즈 맛이 나는 떡볶이가 너무 궁금해서 방문하게 되었습니다  떡볶이그 유명한 치즈맛이 나는 쫀득한 쌀떡볶이입니다 약간 꾸덕한 떡볶이 소스가 정말 맛있었는데요 찐득하고 적당히 고소한 맛에 떡볶이 특유의 매콤한 맛이 정말 맛있었습니다 제 고향 대전의  바로그집 떡볶이 와 비슷하면서덜 느끼하고 약간 더 매콤한 느낌의 맛이라서개인적으로는 더 괜찮더라고요  김말이  계란기본으로 김말이와 계란이 들어있지만무조건 추가해서 먹어야 합니다 왜냐면 지리게 맛있기 때문이거든요 이렇게 맛난 소스에 김말이와 계란이 들어가니 더욱더 맛있었습니다 경기 성남시 수진역 근처에 방문할 일이 있다면 수진분식을 추천드립니다  메뉴정보  메뉴떡볶이 4 500김말이튀김2개 1 500순대 4 000김밥 3 000어묵3개 3 000쫄면 6 000라면 4 000계란2개 1 500 경기_성남시 수진분식 경기 성남시 중원구 산성대로 204 5 F동 15 16호 수진분식 매일 10 15 20 00   L O 19 40 매주 화요일 휴무 Tel 031 755 0226 불펌 및 크롤링 금지  ??플레이스 ??플_경기  ??플_성남시  ??플_수진역,"#수진분식수진분식은, #떡볶이그, #김말이, #계란기본으로, #??플_경기, #??플_성남시, #??플_수진역",7,0,0.0,1403,0.1647874089734554,705
떡볶이,mukpresident,133.0,21000.0,  쌀떡볶이파 국민 주목친애하는 국민여러분 먹통령입니다 오늘 저희가 회담을 나눌 곳은  홍반장떡볶이 입니다 신림역 7번출구에 위치한 이곳 포장마차는신림에 쫌 살았다 하면 다 아는 신림떡볶이 찐맛집입니다 신림역 한복판에 쌀떡볶이 장인님이 자리하고 계십니다  매콤한 쌀떡볶이  도저히 침착해질 수 없는 맛과 비주얼입니다  학교 앞 분식집에서 파는 떡볶이 소스여서 떡을 하나씩 찍어먹는 순간 추억을 먹는 느낌입니다  말랑말랑한 떡과 걸쭉한 소스의 조합이 정말 최고입니다  떡이 쫄깃탱탱해서 자꾸 이빨에 달라붙어요  떡  너의 식감   아직도 그리워   추억의 꼬마김밥도 무조건 츄라이하세요  김밥을 떡볶이소스에 적셔주면 지인짜 마시씀니다    이게 바로 4000원의 행복인가봐   김말이  오징어  계란튀김 픽 해주면 완벽  그리고 사장님이 왕친절하신게 킬뽀 신림역 7번출구 라인에 떡볶이 포장마차가 쭈 욱 이어져 있는데 떡볶이덕후라면 한 번 쭉 훑고 올만 합니다  국민여러분  이곳은 다시 안가면 죽을 것 같은 떡볶이집입니다  떡지순례 제대로 하고 싶은 떡후국민들은 이곳  홍반장떡볶이 를 꼭 방문해보시길 바랍니다  매장  홍반장떡볶이 위치  신림역 7번출구 앞 메뉴  떡볶이 4 000  꼬마김밥3줄 2 000  튀김 2 500  먹통령_신림  신림맛집  신림역맛집  서울대입구맛집  쌀떡볶이  떡볶이맛집  서울떡볶이맛집  포장마차떡볶이  분식맛집  가성비맛집,"#홍반장떡볶이, #먹통령_신림, #신림맛집, #신림역맛집, #서울대입구맛집, #쌀떡볶이, #떡볶이맛집, #서울떡볶이맛집, #포장마차떡볶이, #분식맛집, #가성비맛집",11,1,9.09,2633,0.3092553441390651,704
떡볶이,fatboy_matsta,190.0,10000.0,사장님 이렇게 싸고 많이 퍼주시면 남는게 있나요ㅠㅠ 인천구월로데오 분식 레전드  까치네떡볶이 소개드립니다폭신폭신 시몬스침대급으로 입안이 황홀해지는 계란말이김밥 그리고 달짝지근하면서 매콤하게 스트레스 풀어주는 떡볶이로 헛헛한 마음 달래주고왔습니다 인천 구월동에서 모르면 간첩일 정도로 유명한 까치네 떡볶이의 계란말이 김밥은 너무나도 황홀 그 자체였습니다 계란을 길게 부쳐서 돌돌 말다보니 겹겹이 쌓인 계란층을 씹는 식감이 재밌으면서도 너무나도 고소하고 맛있었습니다 게다가 가격은 또 3 000원 밖에 안해서 놀랍습니다 요즘 계란값 진짜 비싼데 가성비도 너무 좋은것 같아요 그리고 떡볶이와의 궁합이 너무 좋고 사장님께 계란말이김밥에 떡볶이 소스 뿌려달라고하면 뿌려주시니까 같이 찍어먹어도 너무너무 맛있습니다   떡볶이는 양도 정말 많고 학교앞에서 먹던 분식 떡볶이 맛이 생각나는 맛이에요 김밥과의 궁합이 기가막히니 꼭 주문하셔요     매장   까치네떡볶이  주소   인천 남동구 구월동 1409 29  떡볶이   3 000원  계란말이 김밥   3 000원 펫보이_인천  인천맛집  남동구맛집  인천데이트  구월동맛집  인천터미널맛집  인천터미널역맛집  구월맛집  구월데이트  구월로데오맛집  인천분식  인천분식집  인천김밥  떡볶이  김밥  인천핫플  떡볶이맛집  김밥맛집  foodporn  foodpics,"#까치네떡볶이, #펫보이_인천, #인천맛집, #남동구맛집, #인천데이트, #구월동맛집, #인천터미널맛집, #인천터미널역맛집, #구월맛집, #구월데이트, #구월로데오맛집, #인천분식, #인천분식집, #인천김밥, #떡볶이, #김밥, #인천핫플, #떡볶이맛집, #김밥맛집, #foodporn, #foodpics",21,3,14.29,2600,0.305379375146817,676
떡볶이,mat_gozip,320.0,18000.0,저장 각 쌔게 나오는 비주얼의 구슬떡볶이 떡볶이에 진심인 치킨집 치킨매니아에서등장한 뜨끈한 신상 구슬떡볶이   새빨간 양념에 반짝반짝 빛이 나는구슬 떡이 듬뿍 들어가 있는데 떡볶이를보고  아름답다 라는 말을 처음 해봤어요 숟가락으로 국물이랑 같이 떠먹어보면매콤 달콤한 양념과 쫀득한 떡이 진짜미쳤고 역대급 떡볶이였어요   부산에서 유명한 떡볶이라고 하는데이제 전화 한 통화면 먹을 수 있다니치킨매니아 정말 사랑합니다 같이 시킨 순살치킨도 간도 딱 좋았고꾸덕한 떡볶이 소스에 찍어 먹으면진짜 겁나 맛있어요  떡볶이 치킨 감튀까지 2만원이 안 넘다니진짜 찐 가성비 맛집인 것 같아요   치킨매니아  덕천점 주소부산 북구 덕천2길 23 9 1층 메뉴 구슬떡볶이 순살치킨 감튀세트  19 900 운영시간 일 목요일 15 00   24 00금  토요일 14 00   02 00 부산맛집  덕천맛집  덕천동맛집  부산떡볶이  부산떡볶이맛집  부산치킨맛집  부산치킨  치킨추천  치킨스타그램  배달음식  배달치킨  치킨맛집  떡볶이맛집  배달떡볶이  떡볶이맛집  야식추천  야식메뉴추천  치킨  떡볶이  먹스타그램  먹소통  맛스타그램  맛소통  먹팔,"#치킨매니아, #부산맛집, #덕천맛집, #덕천동맛집, #부산떡볶이, #부산떡볶이맛집, #부산치킨맛집, #부산치킨, #치킨추천, #치킨스타그램, #배달음식, #배달치킨, #치킨맛집, #떡볶이맛집, #배달떡볶이, #떡볶이맛집, #야식추천, #야식메뉴추천, #치킨, #떡볶이, #먹스타그램, #먹소통, #맛스타그램, #맛소통, #먹팔",25,6,24.0,141,0.0165609584214235,581
떡볶이,food._.oz,324.0,23000.0,줄 서서 먹어야하는 즉석떡볶이가 있다  입짧은햇님에게 극찬을 받은 즉석떡볶이 맛집 입분식가정집이에요  간판부터 인테리어까지 가게 이름처럼집에서 떡볶이를 먹는 정겨운 느낌이였어요 우삼겹떡볶이 비주얼부터 대박인데새빨간 떡볶이에 불향을 입힌차돌이 듬뿍 올라가 있어요 떡볶이 국물은 매콤달달하고 고소한차돌이랑 너무 잘 어울렸어요  떡은 엄청 쫄깃쫄깃하고 같이 나오는달걀을 국물에 으깨서 먹어도 맛있고주먹을 시켜서 비벼 먹어도 꿀맛이에요  송파구  입분식가정식  주소서울 송파구 오금로18길 10 2층 메뉴 가격 우삼겹떡볶이 24 000원 스팸마요주먹밥 4 000원 한우소대창떡볶이 26 000원 운영시간매일 11 30 21 00 떡볶이  떡볶이맛집  떡볶이맛집추천  송파  송파맛집  송파구맛집추천  송파구카페  송파나루역  송파나루역맛집  송파나루역맛집추천  송파나루역카페  서울떡볶이  서울떡볶이맛집  서울맛집  맛스타그램  먹방스타그램  맛팔  먹팔  맛소통  좋아요  좋반  소통,"#입분식가정식, #떡볶이, #떡볶이맛집, #떡볶이맛집추천, #송파, #송파맛집, #송파구맛집추천, #송파구카페, #송파나루역, #송파나루역맛집, #송파나루역맛집추천, #송파나루역카페, #서울떡볶이, #서울떡볶이맛집, #서울맛집, #맛스타그램, #먹방스타그램, #맛팔, #먹팔, #맛소통, #좋아요, #좋반, #소통",23,6,26.09,107,0.0125675358233497,492
떡볶이,food__some,161.0,18000.0,떡볶이 국물에 빠진 만두  인천 3대 떡볶이라고 불릴만한 맛이에요  인천 얼레꼴레만두모녀떡볶이  남동공단떡볶이와 어깨를 나란히 하는 집이에요  국물떡볶이에 후추를 팍팍 뿌린 다음에 만두를 적셔 먹는게 포인트  만두는 속에 당면이 가득 들어있어서 부두러워요  숟가락으로 국물과 만두를 함께 퍼먹으면 세상 행복함   말랑한 밀떡은 말해 뭐해요  강경 꾸덕파인데 이런 국물떡볶이라면 대환영  떡볶이 좋아하면 믿고 가보세요   얼레꼴레만두  인천 미추홀구 한나루로 420 월드타워 1층 114호 푸썸_인천,"#인천, #얼레꼴레만두모녀떡볶이, #푸썸_인천",3,0,0.0,789,0.0926708949964763,278
떡볶이,fntlvj99,96.0,210.0, 반반이 떡볶이 떡볶이 밀키트 떡볶이 맛집 떡볶이 정착 캠핑장 요리 영월 느티나무 캠핑장재주문  냉장고 터져나가도 쟁여야겠음  ,"#반반이, #떡볶이, #떡볶이, #떡볶이, #캠핑장, #영월",6,3,50.0,0,0.0,71
